clause_text,clause_type,domain,risk_level,source,is_synthetic
"The receiving party shall keep all information confidential
forever.",Confidentiality,NDA,HIGH,d-riti/Risky Patterns clause.pdf,False
The receiving party shall keep all confidential information secret for a period of 3 years following the termination of this Agreement.,Confidentiality,NDA,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"All information shared in any form including verbal
conversations is confidential.",Confidentiality,NDA,HIGH,d-riti/Risky Patterns clause.pdf,False
Confidential Information refers to proprietary information disclosed in writing and clearly marked as confidential.,Confidentiality,NDA,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"Breach of confidentiality shall be treated as a criminal
offence.",Confidentiality,NDA,HIGH,d-riti/Risky Patterns clause.pdf,False
The Receiving Party agrees to maintain the confidentiality of the Disclosing Party's proprietary information for 3 years post-termination.,Confidentiality,NDA,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"Information must be kept confidential even if required
by law or court order.",Confidentiality,NDA,HIGH,d-riti/Risky Patterns clause.pdf,False
"Confidentiality obligations shall not apply to information required to be disclosed by law, provided prior notice is given to the disclosing party.",Confidentiality,NDA,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"Vendor shall keep all Company information confidential.
Company has no obligation regarding Vendor information.",Confidentiality,NDA,MEDIUM,d-riti/Risky Patterns clause.pdf,False
"Confidentiality agreement with no provision for returning
or destroying confidential documents on termination.",Confidentiality,NDA,MEDIUM,d-riti/Risky Patterns clause.pdf,False
"Upon termination, the receiving party shall return or certifiably destroy all confidential documents of the disclosing party within 30 days.",Confidentiality,NDA,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"All disputes shall be resolved by arbitration in Singapore
under SIAC rules.",Arbitration,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
"Any dispute arising out of this contract shall be settled by arbitration in Mumbai in accordance with the Arbitration Act, 1996.",Arbitration,General Indian,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"The Company shall appoint the sole arbitrator who shall
resolve all disputes.",Arbitration,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
The parties shall mutually appoint a sole arbitrator to resolve all disputes arising under this agreement.,Arbitration,General Indian,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
Disputes shall be resolved by arbitration.,Arbitration,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
"Arbitration clause with no mention of time limit for
completing arbitration.",Arbitration,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
The arbitral tribunal shall endeavor to complete proceedings and publish the award within 12 months of constitution.,Arbitration,General Indian,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
Parties waive all rights to approach any court of law.,Arbitration,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
"Seat of arbitration shall be Patna"" for a contract
between Mumbai and Delhi companies.",Arbitration,General Indian,MEDIUM,d-riti/Risky Patterns clause.pdf,False
Any dispute shall be referred to arbitration in New Delhi under the rules of the Indian Arbitration and Conciliation Act.,Arbitration,General Indian,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
Disputes shall be resolved by institutional arbitration.,Arbitration,General Indian,MEDIUM,d-riti/Risky Patterns clause.pdf,False
"All intellectual property created by Vendor during or
related to this contract is assigned to Company with no additional
compensation.",Intellectual Property,Licensing,HIGH,d-riti/Risky Patterns clause.pdf,False
All intellectual property created specifically for this project shall assign to the Company upon receipt of full payment.,Intellectual Property,Licensing,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"Vendor assigns all IP including pre-existing IP and
tools to Company.",Intellectual Property,Licensing,HIGH,d-riti/Risky Patterns clause.pdf,False
Each party retains ownership of its pre-existing intellectual property. Vendor grants Company a license to use pre-existing tools solely for the project.,Intellectual Property,Licensing,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
Vendor waives all moral rights in all works created.,Intellectual Property,Licensing,HIGH,d-riti/Risky Patterns clause.pdf,False
"The Vendor assigns the copyright of the deliverables to the Company, excluding moral rights which remain with the author.",Intellectual Property,Licensing,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"IP assignment is irrevocable and survives termination
regardless of reason.",Intellectual Property,Licensing,HIGH,d-riti/Risky Patterns clause.pdf,False
All intellectual property rights developed solely under this project shall be assigned to the Client upon final payment.,Intellectual Property,Licensing,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"Company has unlimited license to use all vendor tools
for any purpose.",Intellectual Property,Licensing,MEDIUM,d-riti/Risky Patterns clause.pdf,False
"Vendor must warrant their IP but company provides
no warranty about materials they provide to vendor.",Intellectual Property,Licensing,MEDIUM,d-riti/Risky Patterns clause.pdf,False
"This agreement shall be governed by the laws of England
and Wales.",Governing Law,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
This Agreement shall be governed by and construed in accordance with the laws of India.,Governing Law,General Indian,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"Exclusive jurisdiction of courts in Andaman Islands""
for a contract performed in Mumbai.",Governing Law,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
"Contract with no mention of which law governs or
which court has jurisdiction.",Governing Law,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
"This Agreement shall be governed by Indian law, and the courts at Mumbai shall have exclusive jurisdiction.",Governing Law,General Indian,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
Courts at Delhi shall have non-exclusive jurisdiction.,Governing Law,General Indian,MEDIUM,d-riti/Risky Patterns clause.pdf,False
Payment shall be made within 90 days of invoice.,Payment,Vendor/Supply,HIGH,d-riti/Risky Patterns clause.pdf,False
"Payments shall be made within 45 days of receipt of a valid invoice, in compliance with the MSMED Act, 2006.",Payment,Vendor/Supply,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"Company may withhold payment at its sole discretion
if it is dissatisfied with work quality.",Payment,Vendor/Supply,HIGH,d-riti/Risky Patterns clause.pdf,False
Payment shall be made within 30 days of receipt of invoice.,Payment,Vendor/Supply,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"Contract with payment terms but no mention of
interest for late payment.",Payment,Vendor/Supply,HIGH,d-riti/Risky Patterns clause.pdf,False
Delayed payments shall attract interest at the RBI bank rate plus 2% per annum.,Payment,Vendor/Supply,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"Payment shall be made only after client approval
which may take unlimited time.",Payment,Vendor/Supply,HIGH,d-riti/Risky Patterns clause.pdf,False
"Company may dispute any invoice and disputed amounts
shall not be paid until resolution.",Payment,Vendor/Supply,MEDIUM,d-riti/Risky Patterns clause.pdf,False
"In case of an invoice dispute, only the specific disputed amount may be withheld. All undisputed amounts must be paid when due.",Payment,Vendor/Supply,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"Force majeure includes market fluctuations, supply chain
issues, and inability to find staff.",Force Majeure,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
"Force Majeure includes natural disasters, acts of God, war, riot, and government actions beyond the control of either party.",Force Majeure,General Indian,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"Force majeure clause with no obligation to notify
other party within specific time.",Force Majeure,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
A party claiming force majeure must notify the other party in writing within 7 days of the occurrence of the event.,Force Majeure,General Indian,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"Either party may suspend performance for as long as
force majeure continues.",Force Majeure,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
"If a Force Majeure event continues to prevent performance for more than 45 days, either party may terminate the contract.",Force Majeure,General Indian,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"Force majeure expressly excludes pandemic and
epidemic events.",Force Majeure,General Indian,MEDIUM,d-riti/Risky Patterns clause.pdf,False
"Force Majeure includes events beyond the reasonable control of the parties, including natural disasters and government orders.",Force Majeure,General Indian,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"This agreement shall automatically renew for successive
one year terms unless terminated.",Renewal Term,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
This Agreement shall automatically renew for successive 1-year terms unless either party gives 30 days prior written notice of non-renewal.,Renewal Term,General Indian,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"On auto-renewal, fees shall increase by 20% automatically.",Renewal Term,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
"Upon renewal, any price escalation shall be negotiated and agreed in writing by both parties.",Renewal Term,General Indian,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
Agreement auto-renews for 3 year terms.,Renewal Term,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
The term of this Agreement may be extended by mutual written consent of both parties.,Renewal Term,General Indian,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"Contract involving personal data with no mention
of data protection responsibilities.",Data Protection,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
"The parties shall comply with all applicable data protection laws, including the Digital Personal Data Protection Act, 2023.",Data Protection,General Indian,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"Company may share user data with group companies
and third parties for any purpose.",Data Protection,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
The Processor shall maintain reasonable security practices to protect personal data from unauthorized access.,Data Protection,General Indian,LOW,d-riti/Risky Patterns clause.pdf (derived recommended),True
"Company is not liable for any loss arising from
unauthorized access to data.",Data Protection,General Indian,HIGH,d-riti/Risky Patterns clause.pdf,False
"The initial term of this Agreement shall commence on the Effective Date, and shall continue thereafter for a period of twelve (12) months (the ""Initial Term"").",Expiration Date,Original Corporate,LOW,splits/train.csv,False
"Stryker and Conformis are collectively referred to herein as the ""Parties"" and   individually as a ""Party.""",Parties,Original Corporate,LOW,splits/train.csv,False
Programmer shall not separately sell advertising time on the HD2 Channel but may market the WLIB Programs as being rebroadcast on the HD2 Channel.,License Grant,Original Corporate,LOW,splits/train.csv,False
"THE VALIDITY, CONSTRUCTION AND ENFORCEABILITY OF THIS AGREEMENT SHALL BE GOVERNED BY THE LAWS OF THE STATE OF MINNESOTA, WITHOUT GIVING EFFECT TO CONFLICT OF LAWS PRINCIPLES THEREOF.",Governing Law,Original Corporate,LOW,splits/train.csv,False
This Agreement will be construed in accordance with the laws of the State of Delaware and is assignable only upon the written consent by all the parties hereto,Governing Law,Original Corporate,LOW,splits/train.csv,False
"(""Dassault Systemes"") and/or certain affiliates of Dassault Systemes,",Parties,Original Corporate,LOW,splits/train.csv,False
"Even in case of agreements with foreign (non-German) Software Publishers and Affiliates, the law of the Federal Republic of Germany applies.",Governing Law,Original Corporate,LOW,splits/train.csv,False
Each of us grants only the licenses expressly specified herein.,License Grant,Original Corporate,LOW,splits/train.csv,False
"Licensed Products may not be sold to any customer in, or to any customer for distribution into, the following countries, without Liquidmetal's prior written consent, which consent shall not be unreasonably withheld, conditioned or delayed: Brunei, Cambodia, China (P.R.C and R.O.C.), East Timor, Indonesia, Japan, Laos, Malaysia, Myanmar, North Korea, Philippines, Singapore, South Korea, Thailand and Vietnam.",License Grant,Original Corporate,LOW,splits/train.csv,False
"(together the ""Parties"" each a ""Party"")",Parties,Original Corporate,LOW,splits/train.csv,False
STRATEGIC ALLIANCE AGREEMENT is,Document Name,Original Corporate,LOW,splits/train.csv,False
"You also shall not use any Mark or any commercial symbol similar to the Marks in connection with the performance or sale of any unauthorized services or products, or in any other manner we have not expressly authorized in writing.",License Grant,Original Corporate,LOW,splits/train.csv,False
The initial term of this Agreement shall          ----------------------- commence on the Effective Date and end on the fifth anniversary of the Effective Date.,Expiration Date,Original Corporate,LOW,splits/train.csv,False
Cable & Wireless Global Network Limited,Parties,Original Corporate,LOW,splits/train.csv,False
"Subject to the terms set forth in this Agreement, North hereby grants to Company the right and privilege  to use North's Likeness and North's Endorsement during the Term and within the Contract Territory in all reasonable forms of advertising  including, but not limited to television (including the infomercial format), radio, print advertising, brochures, pamphlets, product packaging,  point-of-purchase materials, Company's  web-site and a demonstration video (hereinafter referred to as ""Advertising Materials"")  in connection with Company's advertisement and sale of the Endorsed Product only.",License Grant,Original Corporate,LOW,splits/train.csv,False
"""Effective Date"" shall mean February 16, 1998",Effective Date,Original Corporate,LOW,splits/train.csv,False
"Ehave shall be a third party beneficiary hereunder, but shall not have any obligations to the End User thereunder.",Third Party Beneficiary,Original Corporate,LOW,splits/train.csv,False
"Babcock & Wilcox Enterprises, Inc.",Parties,Original Corporate,LOW,splits/train.csv,False
"""Party"" means Array or Ono, individually; and ""Parties"" means Array and Ono, collectively.",Parties,Original Corporate,LOW,splits/train.csv,False
"Rocky Mountain Chocolate Factory, Inc.",Parties,Original Corporate,LOW,splits/train.csv,False
"Party A and Party B shall sign the Contract for Technology Investment simultaneously with the signature of this Contract, and pursuant to the Contract for Technology Investment shall license to the Joint Venture Company the right to utilize proprietary technology (including patented technology), related documentation and know-how for the production of the Joint Venture Products.",License Grant,Original Corporate,LOW,splits/train.csv,False
"Subject to the terms and conditions of this Agreement, during the Term, Ginkgo hereby grants and shall grant to BLI:

9.2.1 a [***] and this Section 9.2 (Grants to BLI)), [***] license in, to and under any Intellectual Property (a) Controlled by Ginkgo, (b) used by Ginkgo in the conduct of a Workflow Development Plan and (c) necessary for BLI to perform its obligations under this Agreement ((a)-(c) collectively, ""Ginkgo Licensed IP""), solely to perform BLI's obligations under such Workflow Development Plan; and",License Grant,Original Corporate,LOW,splits/train.csv,False
"Party B shall provide the Driver User with long-term and stable rental sources and the most favorable financial leasing scheme, complete the vehicle leasing transactions with the Driver User through the Platform, and provide the Driver User with high-quality financial leasing services.",Most Favored Nation,Original Corporate,LOW,splits/train.csv,False
"INTELLECTUAL PROPERTY AGREEMENT, d",Document Name,Original Corporate,LOW,splits/train.csv,False
"LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT",Document Name,Original Corporate,LOW,splits/train.csv,False
"""Effective Date"" shall have the meaning set forth in the preamble to this Agreement.",Effective Date,Original Corporate,LOW,splits/train.csv,False
"B C Marketing Concepts Inc., dba Full Sail Brewing Company",Parties,Original Corporate,LOW,splits/train.csv,False
"together with its successors and permitted assigns, ""Vivint Solar""",Parties,Original Corporate,LOW,splits/train.csv,False
The Company acknowledges that Nantz Communications' and      Nantz's obligations to CBS or any other television station or network with      which Nantz Communications or Nantz has a contract or arrangement shall      take precedence over any other commitments of Nantz Communications or Nantz      under this Agreement.,Most Favored Nation,Original Corporate,LOW,splits/train.csv,False
"This Agreement will be governed by, construed and enforced in accordance with the laws of the State of Texas.",Governing Law,Original Corporate,LOW,splits/train.csv,False
Savings  Association Insurance  Fund,Parties,Original Corporate,LOW,splits/train.csv,False
"""Effective Date"" means the date of last signature on this Agreement.",Effective Date,Original Corporate,LOW,splits/train.csv,False
MPM ONCOLOGY IMPACT MANAGEMENT GP LLC,Parties,Original Corporate,LOW,splits/train.csv,False
This Agreement shall be governed by the laws of the state of Florida.,Governing Law,Original Corporate,LOW,splits/train.csv,False
"For avoidance of doubt, to the extent that any of the licenses granted by the terms of this Agreement include any right to sublicense, such right to sublicense shall extend to Licensee's subsidiaries and joint venturers.",Affiliate License-Licensee,Original Corporate,LOW,splits/train.csv,False
and all MBE Centers together fail to ship at least [***]* packages,Competitive Restriction Exception,Original Corporate,LOW,splits/train.csv,False
The license granted to the Licensee under this Agreement shall continue perpetually,Expiration Date,Original Corporate,LOW,splits/train.csv,False
This Agreement shall be governed by and construed in accordance with the laws of the State of California without reference to conflict of law principles thereof.,Governing Law,Original Corporate,LOW,splits/train.csv,False
"During the term hereof and for a period of five (5) years thereafter, each Party agrees not to, either directly or indirectly, for itself or on behalf of any other person, firm, partnership, corporation or other entity hire, solicit, contract for, attempt to solicit, or cause to be solicited, the employment or services of any current or previous employee of the other Party (unless a period of sixty months has elapsed from the last date that such employee was employed by such party) without the prior written consent of such other Party.",Competitive Restriction Exception,Original Corporate,LOW,splits/train.csv,False
This Agreement shall be construed and enforced and interpreted in accordance with and governed by the laws of the Commonwealth of Massachusetts without reference to principles of conflicts of law.,Governing Law,Original Corporate,LOW,splits/train.csv,False
"_____ day of __________________, 2015",Agreement Date,Original Corporate,LOW,splits/train.csv,False
"SpinCo may sublicense the Licensed RemainCo Intellectual Property to Affiliates of SpinCo, even if they become Affiliates after the Distribution Date, solely within the scope of its licenses in Article 5, provided that such sublicense shall only be effective for such time as such entity remains an Affiliate of SpinCo",Affiliate License-Licensee,Original Corporate,LOW,splits/train.csv,False
Licensor: PACIFICAP ENTERTAINMENT,Parties,Original Corporate,LOW,splits/train.csv,False
"PennTex North Louisiana Operating, LLC",Parties,Original Corporate,LOW,splits/train.csv,False
"The Step-in Right shall include, without limitation, and to the extent allowable under Applicable Law, PPI's grant to EKR of  such additional license rights, rights of access, rights of observation and rights of management, direction and control, in  each case solely with respect to the manufacture and supply of Product and as reasonably necessary to enable and permit  EKR (or EKR's designee) to ensure that the supply of Product shall continue to be available to EKR under this Agreement  and the Supply Agreement; provided that EKR in exercising the Step-in Right shall not (i) unreasonably interfere with PPI's  other activities at the facilities at which the Product is manufactured, tested, labeled, stored or",License Grant,Original Corporate,LOW,splits/train.csv,False
"If FMI enters into any subsequent agreement with another customer or collaborator which provides for pricing terms for substantially the same product or services at substantially the same (or a lesser) scale, which pricing terms are more favorable than those contained herein, then FMI shall notify Roche and Roche will have the right to modify this agreement to provide Roche with those more favorable pricing terms. […***…].",Most Favored Nation,Original Corporate,LOW,splits/train.csv,False
"This Agreement shall be governed in all respects, including as to validity, interpretation and effect, by the Laws of the State of Illinois, without giving effect to its principles or rules of conflict of laws, to the extent such principles or rules are not mandatorily applicable by statute and would permit or require the application of the Laws of another jurisdiction.",Governing Law,Original Corporate,LOW,splits/train.csv,False
"""AbbVie Know-How"" means all Information that is (a) Controlled by AbbVie or any of its Affiliates during the Term, (b) developed or acquired by AbbVie or any of its Affiliates during the Term as a result of performance under this Agreement, (c) not generally known and (d) necessary or reasonably useful for the Exploitation of the Licensed Compound or a Licensed Product, but excluding any Joint Know-How or Information published in any AbbVie Patents or Joint Patents.",Affiliate License-Licensor,Original Corporate,LOW,splits/train.csv,False
"Indorama Loop Technologies, LLC",Parties,Original Corporate,LOW,splits/train.csv,False
"Green Cross hereby grants to MacroGenics a royalty-free, worldwide license during the Term, with the right to grant sublicenses, under the Green Cross Licensed Patents and Green Cross Know-how that is incorporated into any Product, and all other intellectual property Controlled by Green Cross that is specifically related to MGAH22 to the extent needed by MacroGenics to research, identify, develop, make, have made, use, sell, offer for sale and import Products, including, without limitation, as contemplated by Section 10.1(c) above, in all cases without any obligation to obtain Green Cross' prior consent.",License Grant,Original Corporate,LOW,splits/train.csv,False
"COLLABORATIVE RESEARCH, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT",Document Name,Original Corporate,LOW,splits/train.csv,False
"each a ""Party"""" and together ""Parties""",Parties,Original Corporate,LOW,splits/train.csv,False
Without notification the contract will automatically extend for an additional month of service.,Renewal Term,Original Corporate,LOW,splits/train.csv,False
"The rights granted hereunder shall be effective as of the Effective Date and shall expire on December 31, 2006 (the ""Term""); provided, however, that with respect to each Property, including Robots, Kingdom of Heaven, Mr. and Mrs. Smith, In Her Shoes, Idiocracy (Oww My Balls) and Ice Age II, all right and licenses granted herein will continue in full force and effect until March 31, 2008.""",Expiration Date,Original Corporate,LOW,splits/train.csv,False
"in such capacity and together with its successors and assigns in such capacity, the ""Agent""",Parties,Original Corporate,LOW,splits/train.csv,False
Boehringer Ingelheim International GmbH,Parties,Original Corporate,LOW,splits/train.csv,False
"Sonos hereby authorizes IAC to use and to cause its Affiliates to use, the Marks as specified by Sonos on the Products and relevant documents solely for the purpose of this Agreement",License Grant,Original Corporate,LOW,splits/train.csv,False
"APOLLO CAPITAL MANAGEMENT GP, LLC",Parties,Original Corporate,LOW,splits/train.csv,False
"formerly known as Tarzan HoldCo, Inc.),",Parties,Original Corporate,LOW,splits/train.csv,False
SPONSORSHIP AND DEVELOPMENT AGREEMENT,Document Name,Original Corporate,LOW,splits/train.csv,False
FEDERATED ADVISORY SERVICES COMPANY,Parties,Original Corporate,LOW,splits/train.csv,False
"The laws of the State of New York (excluding any laws that direct the application of another jurisdiction's law) govern all matters arising out of or relating to this Agreement and all of the transactions it contemplates, including its validity, interpretation, construction, performance, and enforcement.",Governing Law,Original Corporate,LOW,splits/train.csv,False
Elephant Talk Communication Holding AG,Parties,Original Corporate,LOW,splits/train.csv,False
"Except as set forth in Sections 10.3 and 10.4, nothing in this Agreement is intended to confer  benefits, rights or remedies unto any person or entity other than the Parties and their permitted successors and assigns.",Third Party Beneficiary,Original Corporate,LOW,splits/train.csv,False
SCANSOURCE DE MEXICO S. DE R.L. DE C.V.,Parties,Original Corporate,LOW,splits/train.csv,False
"From the commencement of the first Contract Year through the end of the Term, Forty Niners SC grants to Sponsor a limited license during the Term to (a) advertise and promote the fact that Sponsor is an ""official sponsor of the San Francisco 49ers,"" (b) use, reproduce and display the Team Marks in connection with advertising and promotion of Sponsor's goods and services in the Product and Services Category, and (c) promote Sponsor's sponsorship, subject to the terms and conditions of use set forth herein.",License Grant,Original Corporate,LOW,splits/train.csv,False
"This Agreement shall be governed by, and construed and enforced in accordance with, the laws of the State of Delaware, without regard to any conflict or choice-of-law provision or rule (whether of the State of Delaware or any other jurisdiction) that would cause the application of the laws of any jurisdiction other than the State of Delaware.",Governing Law,Original Corporate,LOW,splits/train.csv,False
GLOBAL MAINTENANCE AGREEMENT (,Document Name,Original Corporate,LOW,splits/train.csv,False
"Columbia Laboratories, (Bermuda) Ltd.",Parties,Original Corporate,LOW,splits/train.csv,False
"This agreement shall commence on January 20, 2014 (the ""Effective Date"") and shall continue in effect for six (6) months (the ""Initial Term"").",Effective Date,Original Corporate,LOW,splits/train.csv,False
