clause_text,clause_type,domain
"The PG shall ensure that the Supply Contract shall afford the Parties to this Agreement the right to review the books, records, vouchers, and accounts required to be kept, maintained, and obtained pursuant to Subparagraphs 9.1, 9.2 and 9.3.",Other Corporate,Original Corporate
"The Employee shall be on probation for a period of 6 months, extendable at the discretion of the Company.",Notice Period / Termination,Employment
"Upon execution of this deed, the Buyer shall become the sole and absolute owner of the scheduled property.",Possession & Transfer,Property
"MBE shall, at any time during the term of this Agreement, be entitled to audit all such records upon ten (10) days written notice to the Company, in order to confirm the accuracy of such records and conformance with the terms and conditions of this Agreement; provided, however, that no more than one (1) such audit may be conducted in any --------  ------- ninety (90)-day period.",Other Corporate,Original Corporate
This Agreement shall enter into effect on the date it is signed by both parties as shown below.,Effective Date & Parties,Original Corporate
"Turpin  acknowledges  and agrees that Turpin's      employment  with the Company may be succeeded by employment  with a Company      Affiliate,  in which case the terms of this  Agreement  shall  continue  in      effect with respect to such employment until an agreement  relating to this      subject matter is signed between Turpin and the Company Affiliate.",License Grant,Original Corporate
The contract shall in all respects be governed by the laws of India.,Governing Law,General
The contract shall in all respects be governed by the laws of India.,Governing Law,General
"then employed by the Agent or any of its Affiliates or (ii) knowingly employ any employee of the Agent or any of its Affiliates who voluntarily terminates such employment with the Agent (or such Affiliate) after the Effective Date, until three months have passed following termination of such employment.",Non-Compete,Original Corporate
"Notwithstanding the foregoing, in the event that Licensee or any sublicensee is deemed to own any rights in the Brand, Licensee hereby irrevocably assigns (or shall cause such sublicensees to assign), without further consideration, such rights to Licensor together with all goodwill associated therewith.",Intellectual Property,Original Corporate
Any legal proceedings in connection with this agreement shall be initiated only in the competent courts in Bengaluru.,Jurisdiction & Venue,General
Either party may terminate this employment agreement by giving 30 days' written notice or salary in lieu thereof.,Notice Period / Termination,Employment
"For a period of 12 months post-termination, the Employee shall not work for any direct competitor in India.",Non-Compete,Employment
"Each such subcontractor listed on Exhibit A attached hereto and any Affiliate or Third Party approved by SIGA as an MMT sublicensee pursuant to this Section 2.1(b) shall be deemed to be a ""Permitted Sublicensee"" for purposes of this Agreement.",License Grant,Original Corporate
All legal relationships between the parties shall be subject to the laws of the Republic of India.,Governing Law,General
All notices under this agreement shall be in writing and sent to the address specified in the recitals.,Notices,General
The covenant not to compete restricts the Employee from joining rival tech companies for 6 months in the region of Chennai.,Non-Compete,Employment
"The Lessee has paid a sum of Rs. 57,000 as interest-free security deposit to the Lessor, refundable upon termination.",Security Deposit,Rental
"This JV Agreement shall become effective on the signing date and shall have a duration of * years, extendable for a further * years, unless notice of non- renewal is sent one year before the natural expiry date.",Effective Date & Parties,Original Corporate
"Except for the joint marketing efforts referred to in Section 3.1 (v)         above, Purolator agrees not to directly or indirectly solicit next day         or multiple day freight from existing sameday customers of Dynamex.",Non-Compete,Original Corporate
"Supplier hereby represents and warrants that the Software shall be and shall remain Operative, from the Delivery Date through the end of the Warranty Period.",Warranty Duration,Original Corporate
"This Agreement will automatically renew for successive one year terms (each a ""Renewal Term"", and together with the Initial Term, the ""Term""), unless either Charterer or Owner elects not to renew this Agreement by providing the other party with written notice of such election 30 days prior to the expiration of the Initial Term or Renewal Term, as applicable, at which point this Agreement will automatically terminate.",Notice Period / Termination,Original Corporate
"All right, title and interest in such Work in Progress relating to Bank of America Customizations (including copyright) shall be deemed assigned to and vested in Bank of America.",Intellectual Property,Original Corporate
"(2) contact, solicit, or direct any person or entity to contact or solicit, any of the customers of (or customers set forth in the Customer Data) for the purpose of providing any products or services that are the same or similar to the Products; provided, however, that T&B, in its sole and absolute discretion, shall have the right to terminate this Agreement, including all rights and licenses granted to LEA herein, if and as of the date that any monthly Royalty Payment (as defined in 9.3, below) payable to T&B does not exceed the Minimum Guaranteed Royalty for six (6) consecutive months.",Non-Compete,Original Corporate
The parties shall present this document for registration before the Sub-Registrar of Hyderabad within 30 days.,Stamp Duty & Registration,Property
"Distributor shall own the entire right, title and interest in and to any and all Inventions discovered, developed, identified, made, conceived or reduced to practice solely by Distributor or its Affiliates or Sub-distributors or its other subcontractors in the Territory and under or in connection with this Agreement, including in the course of conducting regulatory activities or Commercialization of the Product in the Field in the Territory, whether or not patented or patentable, together with any and all intellectual property rights in any such Inventions, including Patents that claim or disclose any such Inventions (collectively, the ""Distributor Invention"").",License Grant,Original Corporate
All legal relationships between the parties shall be subject to the laws of the Republic of India.,Governing Law,General
"The Tenant shall pay a refundable security deposit of INR 101,000 before taking possession of the premises.",Security Deposit,Rental
"In order to preserve the goodwill of the System following termination, we (or our designee) have the right to enter the Premises (without liability to you, your Owners, or otherwise) for the purpose continuing the Franchised Business' operation and maintaining the goodwill of the business.",Other Corporate,Original Corporate
"Disputes shall be resolved by arbitration in accordance with the rules of the Indian Arbitration Act, with the venue of arbitration in Mumbai.",Arbitration & Dispute Resolution,General
"The Vendor hereby sells, transfers, and conveys all rights, title, and interest in the Property to the Purchaser.",Possession & Transfer,Property
The premises shall be occupied exclusively by the Tenant and their immediate family for housing purposes only.,Use of Premises,Rental
"The Tenant shall pay electricity, water, and gas charges based on actual consumption directly to the utility providers.",Maintenance & Utilities,Rental
"With respect to Qwik-Fix Pro delivered by PivX to Detto on CD-Rom, PivX warrants that for a period of thirty (30) days following delivery to Detto, the media on which Qwik-Fix Pro is furnished to Detto will be free from defects in materials and workmanship during normal use.",Warranty Duration,Original Corporate
The arbitration proceedings shall be conducted in English and the seat of arbitration shall be Kolkata.,Arbitration & Dispute Resolution,General
"Upon execution of this deed, the Buyer shall become the sole and absolute owner of the scheduled property.",Possession & Transfer,Property
"The Company may renew this Agreement on the same terms and conditions for one (1) additional five year period that shall begin on January 1, 2005 and end on December 31, 2009, by providing a written notice of its intent to effect such renewal to the Professional by November 30, 2004.",Notice Period / Termination,Original Corporate
Any notice required to be given under this deed shall be sent by Speed Post or courier to the registered office address.,Notices,General
The maximum aggregate liability of the Vendor shall not exceed the sum of INR 3 Lakhs.,Limitation of Liability,General
"E.piphany further warrants that its Maintenance, training and Professional Services will be rendered consistent with generally accepted industry standards for a period of ninety (90) days from performance of such services.",Warranty Duration,Original Corporate
"The Tenant shall pay electricity, water, and gas charges based on actual consumption directly to the utility providers.",Maintenance & Utilities,Rental
"The Stamp Duty and registration charges of INR 128,000 shall be borne entirely by the Purchaser.",Stamp Duty & Registration,Property
"Neither party shall be held liable for any delay or failure in performance due to acts of God, war, lockouts, or government restrictions.",Force Majeure,General
"The compensation of the Employee shall be INR 133,000 per month, payable in accordance with Company policy.",Salary/Compensation,Employment
"This Agreement is subject to and governed by the laws of the State of Delaware, U.S.A. (without regard to conflict of law principles).",Governing Law,Original Corporate
The      parties acknowledge that the foregoing will not prevent CNET from      displaying text links and other references to Competing Computer Products      Retailers as reasonably necessary to provide appropriate editorial and      search related services on the CNET Sites. The Retail Promotions granted to      the Company shall be placed in such a way as to provide no more or less      prominence to the Company than is provided to any other Competing Computer      Retailer signing an agreement with CNET.,Exclusivity,Original Corporate
"The Stamp Duty and registration charges of Rs. 84,000 shall be borne entirely by the Purchaser.",Stamp Duty & Registration,Property
The arbitration proceedings shall be conducted in English and the seat of arbitration shall be Ahmedabad.,Arbitration & Dispute Resolution,General
The Consultant may terminate the Consultation Period at any time upon thirty (30) days' written notice.,Notice Period / Termination,Original Corporate
"THE VÄRDE FUND XII (MASTER), L.P.",Effective Date & Parties,Original Corporate
"The channel is expected to be uploaded on August 1, 201",Notice Period / Termination,Original Corporate
"The Lessee agrees to pay a monthly rent of INR 49,000 net of all deductions to the Lessor.",Rent,Rental
Either party may terminate this employment agreement by giving 2 months' written notice or salary in lieu thereof.,Notice Period / Termination,Employment
"_____ day of __________________, 2015",Effective Date & Parties,Original Corporate
"A monthly lease rent of INR 48,000 shall be paid by the Lessee to the Lessor in advance by the 7thth of every month.",Rent,Rental
"The Stamp Duty and registration charges of Rs. 60,000 shall be borne entirely by the Purchaser.",Stamp Duty & Registration,Property
"Each of Parent and SpinCo, at the request of the other, shall use its commercially reasonable efforts to obtain, or to cause to be obtained, as soon as reasonably practicable, any consent, substitution, approval or amendment required to novate or assign all SpinCo IP Liabilities and obtain in writing the unconditional release of each member of the Parent Group that is a party to any such arrangements, so that, in any such case, the members of the SpinCo Group shall be solely responsible for such SpinCo IP Liabilities; provided, however, that, except as otherwise expressly provided in this Agreement or any of the Ancillary Agreements, neither Parent nor SpinCo shall be obligated to contribute any capital or pay any consideration in any form (including providing any letter of credit, guaranty or other financial accommodation) to any third Person from whom any such consent, substitution, approval, amendment or release is requested.",Intellectual Property,Original Corporate
The Receiving Party agrees to keep all proprietary information confidential and protect it with reasonable care.,Confidentiality,NDA/Confidentiality
"With respect to franchisees governed by Minnesota law, we will comply with Minn. Stat. § 80C.14, Subds. 3, 4, and 5 which require, except in certain specified cases, that a franchisee be given 90 days' notice of termination (with 60 days to cure) and 180 days' notice of non-renewal of the Franchise Agreement, and that consent to the transfer of the franchise not be unreasonably withheld.",Notice Period / Termination,Original Corporate
"The Lessee has paid a sum of Rs. 69,000 as interest-free security deposit to the Lessor, refundable upon termination.",Security Deposit,Rental
"Initial Term shall mean the Effective Date through the day prior to the fourth anniversary of the Effective Date, unless earlier terminated pursuant to Section 8",Notice Period / Termination,Original Corporate
The Receiving Party agrees to keep all proprietary information confidential and protect it with reasonable care.,Confidentiality,NDA/Confidentiality
"This Agreement be deemed effective as of the Effective Date, Agreement and shall terminate on December 31, 2020, unless terminated earlier in accordance with Section 3.2.",Notice Period / Termination,Original Corporate
"Upon execution of this deed, the Buyer shall become the sole and absolute owner of the scheduled property.",Possession & Transfer,Property
Cellco Partnership d/b/a Verizon Wireless,Effective Date & Parties,Original Corporate
Either party may terminate this employment agreement by giving 2 months' written notice or salary in lieu thereof.,Notice Period / Termination,Employment
"In addition, each Party at its own expense and upon advance notice to the Joint Venture Company may appoint an accountant (which may be either an accountant registered abroad or registered in China), to audit the accounts of the Joint Venture Company on behalf of such Party.",Other Corporate,Original Corporate
"The  Franchisee  agrees,  during  the  term  of this Agreement and thereafter,  not to directly or indirectly engage in the operation of any  restaurant,  except as licensed by BKC, which utilizes or duplicates the Burger King System or any part thereof.",Non-Compete,Original Corporate
The maximum aggregate liability of the Vendor shall not exceed the sum of Rs. 5 Lakhs.,Limitation of Liability,General
"The Tenant shall pay a refundable security deposit of INR 114,000 before taking possession of the premises.",Security Deposit,Rental
The Lessee shall use the leased premises solely for office space and commercial activities permitted by local laws.,Use of Premises,Rental
"The Tenant shall pay electricity, water, and gas charges based on actual consumption directly to the utility providers.",Maintenance & Utilities,Rental
The Receiving Party agrees to keep all proprietary information confidential and protect it with reasonable care.,Confidentiality,NDA/Confidentiality
The arbitration proceedings shall be conducted in English and the seat of arbitration shall be Mumbai.,Arbitration & Dispute Resolution,General
The Exclusivity Period shall commence on the Effective Date and expire on the third anniversary thereof.,Exclusivity,Business
All technical and commercial data disclosed under this NDA shall remain the exclusive property of the Disclosing Party.,Confidentiality,NDA/Confidentiality
Audits and inspections           shall not interfere unreasonably with Co-Host's business activities.],Other Corporate,Original Corporate
This Agreement will extend automatically for monthly periods unless either party to this Agreement notifies the other party in writing at least thirty (30) days before the expiration of the then current term.,Notice Period / Termination,Original Corporate
"For the duration of the Agreement, the Client shall not engage any other service provider for similar consulting services.",Exclusivity,Business
The arbitration proceedings shall be conducted in English and the seat of arbitration shall be Kolkata.,Arbitration & Dispute Resolution,General
The premises shall be occupied exclusively by the Tenant and their immediate family for housing purposes only.,Use of Premises,Rental
"For a period of 6 months post-termination, the Employee shall not work for any direct competitor in India.",Non-Compete,Employment
"AVDU agrees that for a twenty four months (24) following the execution of this Agreement, AVDU shall not, without UTEK's prior written consent, directly or indirectly solicit for employment any present employee of UTEK, or request induce or advise any employee of UTEK to leave the employ of UTEK.",Non-Compete,Original Corporate
"Except as otherwise detailed in this Agreement, the Parties acknowledge and agree that the Subject Program including without limitation the Deliverables and Documentation (collectively, the Works) are ""work made for hire"" in accordance with the U.S. Copyright Act, 17 U.S.C. § 101 et seq.",Intellectual Property,Original Corporate
The Seller warrants that the goods will be free from material defects for a period of one year from delivery.,Warranty Duration,Service
