clause_text,risk_level,domain,clause_type,is_synthetic
"of such damages. in any event, other than claims covered by the next sentence, the liability of BNL to VIP for any reason and upon any cause of action and claim in contract, tort or otherwise shall be limited to the amounts paid by BNL to VIP in the twelve (12) month period prior to the accrual of the action or claim for the specific service which is the subject of the action or claim (or, if such accrual occurs during the first twelve (12) months of the initial term, then the liability shall be limited to the minimum fees payable by BNL to VIP during the first twelve (12) months of the initial term) claims by VIP for the minimum fees and other fees and expenses owing by BNL under paragraphs 5, 15(a) and 15(c), or for a breach by BNL of VIP's proprietary rights as set forth in paragraph 13 are excluded from this paragraph II limitation except for the claims excluded by the preceding sentence, this limitation applies to all causes of action or claims in the aggregate including without limitation breach of contract, breach of warranty, negligence, strict liability, misrepresentation and other torts.",high,Original Corporate,Cap On Liability,False
"This agreement shall commence on January 20, 2014 (the ""Effective Date"") and shall continue in effect for six (6) months (the ""Initial Term"").",low,Original Corporate,Effective Date,False
Software Development Agreement,low,Original Corporate,Document Name,False
"The Components of the CHANGEPOINT Software which are licensed to          Customer hereunder are the following: CHANGEPOINT, SQL edition, version          5.2, for an unlimited number of users, including the following modules:          - Service Delivery Management          - Project and Resource Management          - Customer Relationship Management",low,Original Corporate,Unlimited/All-You-Can-Eat-License,False
"If such sale, transfer           or conveyance is not consummated in accordance with the offer and the           Terms and Conditions specified in the applicable Offering Notice, the           rights of Licensee to an Offering Notice shall be reinstated.  No           exercise or waiver by Licensee of any of its rights hereunder shall           modify, abridge, impair or affect any of Licensee's rights under any           of the other terms or provisions of this Agreement.",high,Original Corporate,Rofr/Rofo/Rofn,False
The Receiving Party shall protect the confidential information for 5 years and indemnify the Disclosing Party up to INR 8 Lakhs for accidental leaks.,medium,NDA,Confidentiality,True
"This Agreement shall be governed by, and construed and enforced in accordance with, the laws of the State of Delaware, without regard to any conflict or choice-of-law provision or rule (whether of the State of Delaware or any other jurisdiction) that would cause the application of the laws of any jurisdiction other than the State of Delaware.",low,Original Corporate,Governing Law,False
HPIL ET agrees that the sole and exclusive remedy for money damages relating to this Agreement and the transactions contemplated hereby shall be the rights to indemnification set forth in this Section 10.,high,Original Corporate,Cap On Liability,False
"During the Term of this Agreement and for a period of one year thereafter, Converge and Vert each agree not to directly or indirectly solicit, encourage or cause others to solicit or encourage any employees or individual independent contractors of the other party to terminate their employment or independent contracting relationship with the other party and become an employee or independent contractor of the soliciting party or its Affiliate. This provision does not prohibit a party's responding to unsolicited employment inquiries and/or any",high,Original Corporate,No-Solicit Of Employees,False
"At the end of such [*] ([*]) year period, HSWI shall have the right to renew the Agreement under materially the same terms or shall have an option to purchase the Translated Content outright to the extent rights permit and to the extent the parties mutually agree to terms for such sale.",low,Original Corporate,Renewal Term,False
"The Landlord may terminate this agreement by giving 15 days notice, whereas the Tenant must give 90 days notice and pay a penalty.",medium,Rental,Termination,True
"Sonos hereby authorizes IAC to use and to cause its Affiliates to use, the Marks as specified by Sonos on the Products and relevant documents solely for the purpose of this Agreement",low,Original Corporate,License Grant,False
"The initial term of this Agreement shall commence on the Effective Date, and shall continue thereafter for a period of twelve (12) months (the ""Initial Term"").",low,Original Corporate,Expiration Date,False
"Neither Party may assign this Agreement without the prior written consent of the other Party; provided, however that either Party may assign in connection with a merger or sale of all or substantially all of its stock or assets, provided the assignee agrees to be bound by all of the terms and conditions of this Agreement.",high,Original Corporate,Anti-Assignment,False
"This Agreement shall expire exactly three (3) years from the execution date, unless renewed by mutual agreement.",medium,Original Corporate,Expiration Date,True
"Beijing SINA Internet Information Service Co., Ltd.",low,Original Corporate,Parties,False
"The Landlord may terminate this agreement by giving 60 days notice, whereas the Tenant must give 90 days notice and pay a penalty.",medium,Rental,Termination,True
"World Book grants HSWI the right to use, copy, store, archive, distribute, transmit, modify, translate (subject to Section 2.3), and Display the Images as part of the Affinity.",low,Original Corporate,License Grant,False
"Any default in repayment shall attract an immediate penalty of 24% interest per annum compounded monthly, and the Lender shall have the right to seize all assets of the Borrower.",high,Loan,Interest & Penalties,True
"Franchisee  agrees  to  carry at its expense  during  the  Term of this  Agreement  Comprehensive  General  Liability insurance, including Products Liability and Broad Form Contractual Liability, in an  amount  which is at all  times  the  local  equivalent  of not less than One Million U.S. Dollars (U.S.  $1,000,000.00)  per occurrence for bodily injury and Five Hundred  Thousand  U.S.  Dollars  (U.S.  $500,000.00)  per  occurrence  for property damage, or in such increased amounts as BKC may reasonably request from time to time during the Term of this  Agreement.",medium,Original Corporate,Insurance,False
MusclePharm agrees that any copyrights in works created based upon the Trademarks and/or Name and Appearance Rights shall become the rights of the AS Parties (as among them to be determined among them),medium,Original Corporate,Ip Ownership Assignment,False
The Receiving Party shall protect the confidential information for 5 years and indemnify the Disclosing Party up to INR 8 Lakhs for accidental leaks.,medium,NDA,Confidentiality,True
This Agreement will be governed by and construed in accordance with the Laws of the State of Illinois applicable to agreements made and to be performed wholly within that State without regard to its conflicts of laws provisions.,low,Original Corporate,Governing Law,False
Either party may terminate this Agreement by giving the other party at least 60 days written notice.,low,Rental,Termination,True
"If programming errors or other defects are discovered during the Support Period, the Developer shall promptly remedy those errors or defects at its own expense.",medium,Original Corporate,Warranty Duration,False
"PageMaster Corporation shall provide a minimum of 100,000 up to                500,000 pagers for the fulfillment of this promotion to all                Purchase Customers who prepay their annual airtime.",medium,Original Corporate,Minimum Commitment,False
"ENERGOUS will keep the Deposit Materials in escrow and ensure on a quarterly basis that all the information relating to the Deposit Materials in escrow is current, including deposit of any Product Updates.",medium,Original Corporate,Source Code Escrow,False
LOCAL PROGRAMMING AND MARKETING AGREEMENT (WQHT HD2),low,Original Corporate,Document Name,False
"The Tenant shall pay a non-refundable security deposit of INR 100,000. The deposit shall be forfeited entirely if the Tenant terminates the agreement before the lock-in period.",high,Rental,Security Deposit,True
All insurance required above shall be carried with insurance companies licensed to do business in the  state(s) where operations are maintained with a rating,medium,Original Corporate,Insurance,False
THE FOREGOING PROVISIONS OF THIS SECTION 13.5 STATE THE ENTIRE LIABILITY AND THE EXCLUSIVE REMEDY OF THE PARTIES TO THIS AGREEMENT WITH RESPECT TO INFRINGEMENT OR ALLEGED INFRINGEMENT OF INTELLECTUAL PROPERTY RIGHTS.,high,Original Corporate,Cap On Liability,False
"This Agreement may be terminated at any time while the Employee is living by written notice thereof by either the Employer or the Employee to the other; and, in any event, this Agreement will terminate upon termination of the Employee's employment.",high,Original Corporate,Termination For Convenience,False
"Aimmune covenants that it will not research or develop (including Develop) the Antibody itself, including not developing any modification, variant, fragment, progeny or derivatives of such Antibody, in each case, in a way that would produce a molecule that is neither the Antibody nor a molecule that falls within the definition of a Product.",high,Original Corporate,Non-Compete,False
"All such policies shall require at least thirty (30) days' prior notice to Purchaser of cancellation, non-renewal or material change.",medium,Original Corporate,Insurance,False
"Without limiting the foregoing, Consultant agrees to use his or her best efforts (A) to segregate Consultant's",high,Original Corporate,Non-Compete,False
"You will contribute to the Buffalo Wild Wings Advertising and Development Fund (""Fund"") (which may be one of several regional Funds, if we elect to establish separate Funds to serve various regions in which multiple franchisees are located) an amount equal to three percent (3%) of your Gross Sales, as defined in Paragraph X.",medium,Original Corporate,Revenue/Profit Sharing,False
"Aimmune hereby grants to Xencor an exclusive license under and with respect to Aimmune Patents, and a non-exclusive license under and with respect to Aimmune Know-How, in each case, where such license is an irrevocable, perpetual, royalty-bearing license, with the right to sublicense, to Develop, Manufacture and Commercialize the Product(s), as the Product(s) exist as of the effective date of such termination, or optimized versions thereof that are Products.",high,Original Corporate,License Grant,False
"During the Term of this agreement, and for a period of twenty four (24)months after Termination (the ""Withholding Period""), Contractor may retain monies (collections in Accounts Receivable) against any reasonable anticipated deductions for product recalls, unsalables, rebates, allowances or any audits or other adjustments it deems necessary.",high,Original Corporate,Post-Termination Services,False
"During the Term of this Agreement, FCE will not conduct any Work using Generation 1 Technology in Carbon Capture Applications or any Work using Generation 2 Technology, independently or with third parties outside this Agreement, without prior written approval from ExxonMobil.",high,Original Corporate,Non-Compete,False
"IN NO EVENT SHALL COMPANY BE LIABLE TO CONSULTANT OR TO ANY OTHER PARTY FOR ANY INDIRECT, INCIDENTAL, SPECIAL OR CONSEQUENTIAL DAMAGES, OR DAMAGES FOR LOST PROFITS OR LOSS OF BUSINESS, HOWEVER CAUSED AND UNDER ANY THEORY OF LIABILITY, WHETHER BASED IN CONTRACT, TORT (INCLUDING NEGLIGENCE) OR OTHER THEORY OF LIABILITY, REGARDLESS OF WHETHER COMPANY WAS ADVISED OF THE POSSIBILITY OF SUCH DAMAGES AND NOTWITHSTANDING THE FAILURE OF ESSENTIAL PURPOSE OF ANY LIMITED REMEDY.",high,Original Corporate,Cap On Liability,False
"Any default in repayment shall attract an immediate penalty of 24% interest per annum compounded monthly, and the Lender shall have the right to seize all assets of the Borrower.",high,Loan,Interest & Penalties,True
"All Users shall be treated at least as favorable in all respects (including without limitation with respect to pricing, quality of service, and customer support responsiveness) as Boxlot treats users of the Boxlot Site.",low,Original Corporate,Most Favored Nation,False
The Employee shall not work for any competitor in the same city for 24 months after the termination of employment.,medium,Employment,Non-Compete,True
"Any default in repayment shall attract an immediate penalty of 24% interest per annum compounded monthly, and the Lender shall have the right to seize all assets of the Borrower.",high,Loan,Interest & Penalties,True
"With respect to the foregoing, XSPA shall provide to Calm certificate(s) evidencing such insurance prior to or upon execution of this Agreement.",medium,Original Corporate,Insurance,False
"VÄRDE CREDIT PARTNERS MASTER, L.P.",low,Original Corporate,Parties,False
The audits shall be conducted upon reasonable advance notice during regular business hours at HEMISPHERX's principal office and in such a manner as not to unduly interfere with HEMISPHERX's operations.,medium,Original Corporate,Audit Rights,False
"STAAR warrants that, for the period of twelve (12) months from the date of delivery to Distributor hereunder (the ""Warranty Period""), the Products will meet STAAR's published specifications or labeling for such Products as in effect at the time of such delivery (""Warranty"").",medium,Original Corporate,Warranty Duration,False
"Licensee's affiliates may use the software, provided they sign a joinder agreement agreeing to be bound by this Agreement.",medium,Original Corporate,Affiliate License-Licensee,True
THESE LIMITATIONS SHALL APPLY NOTWITHSTANDING ANY FAILURE OF ESSENTIAL PURPOSE OF ANY REMEDY.,high,Original Corporate,Cap On Liability,False
"""Effective Date"" shall have the meaning set forth in the preamble to this Agreement.",low,Original Corporate,Effective Date,False
"T&B shall not, during the Term, grant any third party a license to use the Licensed Intellectual Property within the Exclusive Field of Use.",high,Original Corporate,Exclusivity,False
The Parties shall work cooperatively toward the appropriate patent or other legal protection of such jointly and equally owned Intellectual Property.,medium,Original Corporate,Joint Ip Ownership,False
"Either party may terminate immediately upon written notice if the other       party (i) ceases to function as a going concern or to conduct operations       in the normal course of business; (ii) has a petition filed against it       under any state or federal bankruptcy law which petition has not been       dismissed or set aside within ninety (90) days of its filing, or if (a)       About sells all or substantially all of the assets of such party or any       event or series of event whereby any entity acquires beneficial ownership       of the capital stock of such party representing fifty percent (50%) of the       voting stock of such party provided however, that the acquisition of About       by Primedia shall not be grounds for the termination of this Agreement; or       (b) ebix becomes acquired by, merged into or is under the control of any       of the following parties, About may terminate this Agreement immediately       upon by providing ebix written notice: AOL; Yahoo; Lycos/Terra; NBC; CBS;       Looksmart; InfoSpace; CMGI; AltaVista; Disney; Microsoft; CNET;       Excite@Home; AskJeeves; GOTO; Doubleclick; or Lifeminders.",high,Original Corporate,Change Of Control,False
"(ii) distribute, sell, transfer, encumber, sublicense, rent, loan, lend or lease any Online BVI Intellectual Property, and/or any component thereof to any third party.",medium,Original Corporate,Non-Transferable License,False
SEV shall not be liable for the failure to provide Maintenance Services due to being unable to gain access to Vehicles  through DCL exercising their rights under this Clause 10.,medium,Original Corporate,Cap On Liability,False
and all MBE Centers together fail to ship at least [***]* packages,low,Original Corporate,Competitive Restriction Exception,False
"Any Invention that is neither PcoMed Technology nor Integra Technology but that is Derived during the Term jointly by the parties relating to this Agreement shall be the property of (i) PcoMed if it relates primarily to the PcoMed Technology and (ii) Integra if it relates primarily to the Integra Products; provided that the parties may agree that an Invention that is Derived during the Term jointly may become the property of both parties, including Inventions or methods related to the surface preparation of Integra Products",medium,Original Corporate,Ip Ownership Assignment,False
"Licensee hereby grants all licenses to Fox to enable Fox to provide Wireless Products to VGSL and T-Mobile for distribution to VGSL and T-Mobile subscribers outside of the United States in accordance with the terms of this Agreement, and shall further deliver such Wireless Products to VGSL and T-Mobile on behalf of Fox.",low,Original Corporate,License Grant,False
People's Government of Fenyi County,low,Original Corporate,Parties,False
Axiometric will have the right to terminate the license to use                   the office space and to move out of the office space at any                   time upon two weeks notice.,high,Original Corporate,Termination For Convenience,False
This Amendment and and any dispute or claim (including non-contractual disputes or claims) arising out of or in connection with it or its subject matter or formation shall be governed by and construed in accordance with the laws of England.,low,Original Corporate,Governing Law,False
Tenant shall have a Right of First Offer to purchase the Property if Landlord decides to sell it during the lease term.,medium,Original Corporate,Rofr/Rofo/Rofn,True
"No later than the Initiation of the first Registrational Clinical Trial for the first Product, Sanofi and RevMed shall enter into a profit/loss share agreement (the ""Profit/Loss Share Agreement"") pursuant to which the Parties shall equally share the Net Profit and Net Loss (as defined in Exhibit M of the Correspondence) applicable with respect to Commercialization of Products (but, for clarity, not any costs of Development) of Products in the U.S.",medium,Original Corporate,Revenue/Profit Sharing,False
"At the reasonable written request of Bellicum during the Term, Miltenyi shall enter into a direct supply agreement for Miltenyi Products with any Licensee nominated by Bellicum, materially consistent with the terms and conditions of this Agreement and the Quality Agreement (as applicable), except as agreed otherwise in writing between Miltenyi and the respective Bellicum Licensee.",medium,Original Corporate,Non-Transferable License,False
"together with PHLVIC, ""PHL Variable""",low,Original Corporate,Parties,False
"""Harpoon Patents"" means all of the Patents that are (a) Controlled by Harpoon or any of its Affiliates as of the Effective Date or at any time during the Term and (b) necessary or reasonably useful (or, with respect to Patent applications, would be necessary or reasonably useful if such Patent applications were to issue as Patents) for the Exploitation of any Licensed Compound or any Licensed Product, but excluding Joint Patents. The Harpoon Patents include the Existing Patents.",low,Original Corporate,Affiliate License-Licensor,False
"The Landlord may terminate this agreement by giving 15 days notice, whereas the Tenant must give 90 days notice and pay a penalty.",medium,Rental,Termination,True
"related  thereto  shall  be governed, controlled, interpreted and defined by and under  the laws of the State of California and the United States, without regard to  the conflicts of laws provisions thereof.",low,Original Corporate,Governing Law,False
"Closing of the Transfer must occur within 60 calendar days of our election (or such longer period as applicable law may require); otherwise, the third-party's offer will be treated as a new offer subject to our right of first refusal.",medium,Original Corporate,Rofr/Rofo/Rofn,False
"Customer hereby grants to Manufacturer a non-exclusive license during the Term to use any Customer Property and Customer-Owned Improvements and Developments solely in connection with Manufacturer performing its obligations under this Agreement or the Facility Addendum in accordance with the terms hereof or thereof, as applicable",high,Original Corporate,Affiliate License-Licensor,False
"Rocky Mountain Chocolate Factory, Inc.",low,Original Corporate,Parties,False
"The Fund shall also furnish Integrity upon request with: (a) annual audits of the Fund's books and accounts made by independent public accountants regularly retained by the Fund, (b) semi-annual unaudited financial statements pertaining to the Fund, (c) quarterly earnings statements prepared by the Fund, (d) a monthly itemized list of the securities in the portfolio of the Fund, (e) monthly balance sheets as soon as practicable after the end of each month, and (f) from time to time such additional information regarding the Fund's financial condition as Integrity may reasonably request.",medium,Original Corporate,Audit Rights,False
This Agreement shall be governed by and construed in accordance with the laws of the State of Colorado excluding its choice of law provisions.,low,Original Corporate,Governing Law,False
The Borrower shall repay the loan at an interest rate of 10% per annum. Late payments shall attract a grace period of 7 days.,low,Loan,Interest & Penalties,True
Products must be ordered in the minimum and/or standard lot size quantities specified in the Price Schedule.,medium,Original Corporate,Minimum Commitment,False
"In case of termination on the basis of Article 14.1 (b) if CERES is the breaching Party, Article 14.1 (c) if CERES ceases substantially all  activities in the COLLABORATION CROPS, Article 14.1 (d) (i), (ii) or (iii) or Article 14.1. (e) (iii), at or about the effective date of termination, the  Parties will negotiate in good faith to reach agreement as to the rights to use and commercially exploit JOINT INTELLECTUAL PROPERTY not  covered by any relevant license/commercialization agreement between the Parties, which rights will be addressed in one or more written  agreements.",high,Original Corporate,Post-Termination Services,False
"Supplier shall maintain insurance with an insurance company with an equivalent of an A.M. Best rating of ""A"" or better, of the following kinds and in the following amounts during the term of this Agreement: 7.5 7.5.1 Comprehensive General Liability (CGL) Insurance with limits of not less than [***] each occurrence and [***] in the aggregate, including Contractual, Completed-Operations and",medium,Original Corporate,Insurance,False
Either party may terminate this Agreement by giving the other party at least 15 days written notice.,low,Rental,Termination,True
The Receiving Party shall protect the confidential information for 5 years and indemnify the Disclosing Party up to INR 7 Lakhs for accidental leaks.,medium,NDA,Confidentiality,True
"Save the event of gross negligence or willful misconduct, pursuant to the provisions in this numeral 11.2, the responsibility of  ECOPETROL under the Contract hereof under no circumstance shall exceed seventy five per cent (75%) of the value of the Crude lost or  damaged by causes attributable to ECOPETROL.",medium,Original Corporate,Cap On Liability,False
"The Tenant shall pay a refundable security deposit of INR 87,000. Deductions may be made for painting, general wear and tear, and cleaning at the sole discretion of the Landlord.",medium,Rental,Security Deposit,True
The Employee shall not engage in any competing business during the term of employment within a 5 km radius of the office.,low,Employment,Non-Compete,True
effective as of the last date of signature on the signature pages below,low,Original Corporate,Effective Date,False
"KI, Inc. shall be entitled to a copy of the





then prevailing certificate of insurance, which shall be furnished KI, Inc. by Diplomat.",medium,Original Corporate,Insurance,False
You must immediately notify us of any changes in the terms of an offer.,medium,Original Corporate,Rofr/Rofo/Rofn,False
"otherwise, to MS for or in connection with this Agreement or the transactions contemplated hereby or any actions or inactions by or on behalf of the MSCI Provider Group in connection with this Agreement and such transactions.",medium,Original Corporate,Cap On Liability,False
"Except as otherwise provided, shipments moving at Carrier's distance     commodity rates may be stopped in transit at not more than two points     enroute between original point of origin and final point of destination to     complete loading or to partially unload or both.",medium,Original Corporate,Volume Restriction,False
"Such option shall be exercisable during a period (the           ""Option Period"") commencing on and including the earlier of (i) the           date upon which Licensee shall have paid to Licensor, in any single           fiscal year of Licensee, royalty payments hereunder in the aggregate           amount of $10,000,000 or (ii) January 1, 2002, and ending upon the           expiration or sooner termination of this Agreement.",high,Original Corporate,Rofr/Rofo/Rofn,False
"[***] shall designate up to [***] ([***]) BLI employees or personnel as key persons (individually, a ""Key Person"" and collectively, ""Key Persons"").",medium,Original Corporate,Volume Restriction,False
"In addition to the Retainer Fee, Tournament Bonuses and Money List Bonuses set forth in Paragraphs 8, 9 and 10 above, TPC agrees to pay Consolidated Artists on behalf of Ogle royalty compensation of ten percent (10%) of the net sales of all Endorsed Products distributed or sold during the Contract Period in or to the Countries of Australia and New Zealand (""Royalty Compensation"").",medium,Original Corporate,Revenue/Profit Sharing,False
